Pintu Masuk,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,
Minangkabau,1880,2208,3313,2016,3583,3586,3408,3435,3460,2936,3320,7766,3757,4611,4597,4450,5776,6224,6872,1932,1965,4140,3037,3641,1714,2005,2350,1906,2092,2972,2434,1180,2279,1864,3342,3344,2183,2646,3215,2107,2669,2707,2734,1628,1903,1799,3740,3254,2502,2561,3147,2665,2615,2760,2346,1979,2169,2224,3637,4163,2307,4295,4005,2912,4142,3771,1985,3152,3096,3520,5404,5546,5497,2889,4327,3916,4573,3779,3926,3364,3857,3515,3990,6563,2744,2876,3690,3106,3975,3008,2962,3685,3767,3349,4353,4815,3378,3892,4428,4063,4854,2104,4094,4224,3329,4980,5115,5225,4042,4066,4992,4621,4167,3022,4157,5215,4397,4885,4682,8630,3253,4459,5057,4293,3002,4549,5100,5602,5094,4055,5118,4801,4528,5144,6196,5434,3576,5212,5183,5967,4427,5271,5013,5180,4616,4111,2530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,709,3062,2878,3590,2765,4100,4624,5226,4946,5577,5453,4925,5898,6710,4689,8229,2976,7166,7107,4561,5936,6685,8232,7511,6041,7550,8490,7810,3649,6270,8312,8621,7674,8216,9699,7588,6611,7081
Sultan Syarif Kasim II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,1268,1319,1234,1131,1642,1223,905,1508,1089,2070,833,1412,1468,1852,1982,2131,1982,2079,1731,1482,1485,2214,2164,1408,1720,2099,1701,1289,1680,1629,1510,1999,1846,2421,2085,1550,1962,2039,1683,2124,1952,1147,2489,1924,2113,3559,3404,2399,2117,2130,1907,2502,2247,1713,1823,1912,2334,2776,3522,2606,2043,2300,2112,2503,1954,2660,2488,1752,462,2211,2286,1523,1912,2090,1786,2494,1751,2654,2362,2822,3279,3280,3973,3274,2909,3612,3554,3578,3504,3543,3590,3066,3026,3225,3224,2129,1942,2510,2044,1666,2838,2417,2977,2321,2654,3265,3013,2450,2989,3071,2745,2364,2971,2555,3229,2409,2677,2917,4042,3212,2378,1241,0,0,1,0,2,3,0,3,0,1,3,8,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,32,117,272,632,955,1977,1624,1914,1697,2453,2293,2447,2111,2770,2166,2377,2921,2964,2126,3709,2081,3996,2849,4637,2516,3940,3320,2637,2485,2800,2684,2446,2612,2793,3277,3443,2688,3201,3938,3091,3210,3775
Sultan Iskandar Muda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,3254,3375,2947,2430,1528,2297,2627,2559,2763,2905,3698,2802,2915,3402,2941,1717,1468,3297,3087,3074,2058,1137,1315,1676,1739,2134,2225,1360,2051,2823,2935,2371,2560,2417,4012,3976,3978,2390,1,0,0,0,1,5,0,0,0,0,0,0,1,4,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,257,452,1177,1440,2024,1901,1349,2350,2157,2582,3108,2481,1875,2577,3461,2379,4421,1582,2533,2050,2080,2489,3042,3909,3237,2534,3598,3811,3825,1512,2184,4003,3607,4088,4305,5390,4257,3627,4217
Ahmad Yani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,1354,1815,1647,1891,1541,2294,2625,2088,2079,2361,2354,1680,1724,2020,2232,1612,1647,2114,2650,2117,2022,1844,1930,2165,2033,2296,1635,996,1872,1851,2035,1946,2225,2296,2627,2239,1769,932,3,0,0,0,0,10,0,0,0,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,1381,1618,1365,1627
Supadio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,626,899,655,812,1642,1731,2307,2104,1979,2263,2652,1284,2356,2416,1902,1473,1652,1639,1992,2254,1697,2352,2033,1598,2639,2316,1886,1527,1567,1826,2127,2077,1599,1811,1527,1879,1780,818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,29,0,1838,1674,1693,2371
Hasanuddin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,2045,1080,925,913,1093,935,1026,946,950,3059,1326,906,1083,939,1146,1090,1289,1277,1295,964,1178,1615,1513,1064,1048,1277,1192,1039,1041,1073,1168,1004,1130,1440,1405,808,972,1455,1311,1655,2009,1582,1579,1864,1422,1554,1519,1707,1213,1159,1241,1124,1134,1106,1625,1389,1279,1337,1399,906,931,1178,929,900,906,1194,1115,1343,961,1465,1263,755,876,1180,1056,1196,869,1370,1287,1511,2593,2263,1941,1812,1263,1530,1179,1131,1240,2132,1743,1604,1448,1538,1715,832,1004,1099,1077,661,1216,1566,1626,1281,1187,1171,1406,951,1379,1825,1312,1105,1385,1473,1983,1503,1439,1595,1821,1338,1227,1032,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,364,523,706,503,701,897,526,1530,1066,1469,921,1564,1432,1888,1755,1609,1787,1175,1194,1500,742,1408,579,1402,1066,1092,1532,1427,1326,1091,947,1085,1203,979,1300,827,1468,1959,1781,1814,1594,1565,1306,2321
Sultan Badaruddin II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1156,1468,1154,1010,1136,1220,1418,1256,977,1266,1580,727,788,1015,861,716,1311,1185,2263,1160,1167,1238,1431,1038,1573,1419,1409,1396,1725,1231,1605,1287,1183,1218,762,1263,851,449,0,2,17,0,15,0,2,2,0,0,0,0,0,0,0,804,477,0,0,0,0,0,0,0,0,0,8,1024,4,4,90,0,0,0,1,1,0,0,0,11,4,0,0,1,6,0,2,2,0,5,0,15,11,0,0,0,2,0,0,4,1,11,2,204,1138,933,834,1110,837
Pintu Udara Lainnya,1508,1469,2130,1536,2107,1776,1892,1601,947,1404,1194,1458,1088,909,1313,1192,1444,1611,1713,1391,1211,1777,1239,1601,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,2729,2729,2729,2729,2729,2729,2729,2729,2729,2729,2729,2729,2639,2639,2639,2639,2639,2639,2639,2639,2639,2639,2639,2639,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581,2581,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1686,1888,2681,2033,1640,1448,2004,1904,1901,2107,2760,2347,792,697,1013,976,695,979,1028,939,916,1441,2162,2381,1972,2742,849,890,889,1649,2063,2506,1351,2172,4006,3593,6489,3875,1605,41,61,41,90,263,243,181,76,50,25,24,39,29,26,37,129,16,69,31,75,53,16,0,0,13,20,31,2024,682,623,539,735,658,672,645,953,889,1543,1341,2376,1796,1840,1518,1585,1831,1941,2432,1376,1711,2396,2092,3170,2842,3882,4224,3901,4347,3231,3571,3758,5317,6381,6311,7243,5969,5195,5074,5353,6069
B. Pintu Laut,89296,102762,108215,93401,105042,115706,101001,113357,90081,97278,105472,131170,97421,80681,101978,91428,94537,100206,82814,91030,79471,84539,89639,119339,119784,127592,131280,120526,132703,147125,136132,122624,117983,123252,134152,170959,119878,135620,139213,141849,144348,169653,164244,136033,136953,143100,151406,192385,157604,125930,157808,142636,141789,176875,142341,148134,142041,151940,149830,196679,131189,158618,174784,135951,154845,183730,134321,166472,152985,148108,171430,211860,169926,141922,175797,157164,159893,195824,151048,163879,156103,172218,167909,226683,155981,172490,168997,169374,195528,180225,155923,189359,159912,161844,166239,226412,148144,172209,172770,169731,177581,170910,142820,146917,160347,155045,147629,216451,230174,186669,220326,233538,209193,233765,226979,235311,229735,222271,230070,324624,220044,261044,304859,236833,230118,289312,252458,280868,264522,243901,259832,370629,304479,340751,378698,328884,335111,386152,311429,368408,327642,332319,358264,388495,313541,192604,111323,45058,46615,47060,46942,49542,45109,41370,40970,44467,37667,29300,35317,30918,39720,29929,35511,33497,33397,38245,32741,39230,58442,51539,60357,69085,105719,134664,184193,164918,196668,207390,193894,299967,224851,191063,236181,235660,214326,276039,225106,220199,212770,186161,190258,291763,198072,239718,252013,211716,212718,261165,212433,248758,231748,218620,223293,264692,232267,203450,206397,200550,244169,307815,242599,263040,264693,260124,250166,353577
Batam,77656,87206,92174,78838,87079,98404,85560,94257,74690,82630,90102,112794,81601,68964,87154,77788,79969,84521,70864,78422,66105,72195,78764,105037,79560,80966,81732,77178,84617,92719,86716,76809,74511,77183,85307,110148,77925,86318,87776,92055,96206,111619,108383,84918,90569,95250,100404,130158,102630,83089,103626,93813,94117,117049,92636,95725,95423,102251,101881,137368,89250,105380,120271,93163,109335,126277,91056,112340,108215,103511,123835,153797,119054,97445,122019,111929,115323,140218,101996,111455,113090,126169,123505,171907,114478,119642,124019,125816,148920,132569,109931,134540,117089,123750,124983,170081,108888,120351,125324,125573,132410,121253,103647,99724,115052,114020,106953,159277,135046,100329,132551,139361,117372,130541,122869,124044,122835,117589,124833,197347,115590,155671,175194,144104,142157,167398,144235,159218,153944,141337,155283,233153,134415,159248,172461,154810,145447,175001,147690,183401,159331,158619,167288,190232,154464,94684,43853,230,214,94,54,50,341,427,454,471,260,157,343,191,245,250,153,149,129,158,234,313,240,329,995,8136,16741,39649,56610,59750,77981,77752,80216,144521,93781,73090,97040,88776,76577,133616,94373,94601,101470,79646,103497,149218,77836,111758,104191,78674,99404,130714,100295,119550,114682,109864,111306,157945,123223,103491,99412,99257,139491,166223,121487,144698,140073,137435,125503,193464
Tanjung Uban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21604,23718,27100,22281,26349,29928,27000,26653,23187,25435,26029,34661,22663,25662,28523,26206,25487,32372,31694,32806,25208,27097,25425,34210,30546,23440,28471,25784,24498,32780,28693,32547,25406,28355,25003,31024,22921,27756,29844,22087,23729,30164,25067,32368,23866,23846,24577,31929,28811,25090,27009,24205,22204,30867,31102,31388,23661,25882,22733,27909,20753,28977,23722,22211,24026,27247,28181,34193,24337,19333,20389,30641,21484,27642,25577,23018,23338,31465,20389,29491,25051,23145,21984,32820,26778,21888,25445,28410,25496,34726,32234,37199,31422,32389,30822,44783,26993,31758,37364,32237,33833,40296,52228,57643,53214,47742,47833,61258,40601,49394,61156,48560,58673,61850,49247,55638,50232,47670,52374,59340,41252,18230,5047,63,61,0,0,71,0,0,101,71,0,0,81,10,20,20,0,0,0,0,51,77,88,31,367,2998,5281,12509,16988,13277,18218,19932,16473,31367,14957,11265,19018,18547,15001,26345,17619,19237,20542,16838,16544,26205,11442,18432,20741,14202,14974,22829,16210,20655,16058,15916,14933,22213,15791,9815,17619,15254,20284,32073,21939,24930,20974,22633,16867,35187
